Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
Australian government capital expenditure,234164,359546,2022,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,898819,1395003,2022,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2022,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2022,44224,"Albert Park Primary School, Albert Park, VIC",
Other,0,5915,2022,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,1132983,1760464,2022,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,18140,75639,2022,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,69628,298290,2022,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2022,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2022,50217,"Newport Gardens Primary School, Newport, VIC",
Other,14020,37370,2022,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,101788,411299,2022,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,723539,0,2023,44461,"Kensington Primary School, Kensington, VIC","828,607"
State / territory government capital expenditure,3159636,0,2023,44461,"Kensington Primary School, Kensington, VIC","3,564,512"
New school loans,0,0,2023,44461,"Kensington Primary School, Kensington, VIC",0
Income allocated to current capital projects,0,0,2023,44461,"Kensington Primary School, Kensington, VIC",0
Other,0,0,2023,44461,"Kensington Primary School, Kensington, VIC",0
Total capital expenditure,3883175,0,2023,44461,"Kensington Primary School, Kensington, VIC","4,393,119"
Australian government capital expenditure,433987,454783,2014,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,487039,530543,2014,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2014,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2014,44044,"Newport Lakes Primary School, Newport, VIC",
Other,0,17624,2014,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,921026,1002951,2014,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,0,279,2014,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2014,45797,"St John's School, Footscray, VIC",
New school loans,0,320000,2014,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,115662,368247,2014,45797,"St John's School, Footscray, VIC",
Other,7936,637269,2014,45797,"St John's School, Footscray, VIC",
Total capital expenditure,123598,1325795,2014,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,23711,53769,2014,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,16445,102299,2014,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2014,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2014,44664,"Footscray West Primary School, West Footscray, VIC",
Other,19548,52512,2014,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,59704,208580,2014,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,22435,69247,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,25562,126463,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,0,45700,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,47997,241411,2014,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,3955,31229,2016,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,9372,33645,2016,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2016,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2016,44461,"Kensington Primary School, Kensington, VIC",
Other,0,14154,2016,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,13327,79028,2016,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,33465,179629,2019,44461,"Kensington Primary School, Kensington, VIC",
