year_level,avg,err_low,err_high,results_year,domain,test_type,school_id,school_name
Year 3,462,448,475,2014,Reading,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 3,416,404,427,2014,Writing,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 3,433,420,445,2014,Spelling,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 3,458,443,472,2014,Grammar,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 3,433,421,444,2014,Numeracy,Paper,44270,"North Melbourne Primary School, North Melbourne, VIC"
Year 3,470,456,483,2014,Reading,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 3,461,450,473,2014,Writing,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 3,457,444,469,2014,Spelling,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 3,485,470,499,2014,Grammar,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 3,454,442,466,2014,Numeracy,Paper,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Year 3,444,426,462,2014,Reading,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 3,427,412,442,2014,Writing,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 3,430,414,446,2014,Spelling,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 3,452,434,471,2014,Grammar,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 3,432,417,447,2014,Numeracy,Paper,48415,"Kensington Primary School, Kensington, WA"
Year 3,472,447,498,2014,Reading,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 3,424,403,445,2014,Writing,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 3,435,412,458,2014,Spelling,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 3,449,422,476,2014,Grammar,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 3,431,410,452,2014,Numeracy,Paper,44378,"Footscray City Primary School, Footscray, VIC"
Year 3,435,412,458,2014,Reading,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 3,472,453,492,2014,Writing,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 3,463,441,484,2014,Spelling,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 3,480,455,505,2014,Grammar,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 3,428,408,447,2014,Numeracy,Paper,44714,"Footscray North Primary School, Footscray, VIC"
Year 3,468,451,484,2014,Reading,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 3,450,436,464,2014,Writing,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 3,431,415,446,2014,Spelling,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 3,466,449,484,2014,Grammar,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 3,443,428,457,2014,Numeracy,Paper,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Year 3,449,434,463,2014,Reading,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 3,433,421,445,2014,Writing,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 3,426,413,439,2014,Spelling,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 3,455,440,471,2014,Grammar,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 3,438,425,450,2014,Numeracy,Paper,44843,"Wembley Primary School, Yarraville, VIC"
Year 3,472,455,488,2014,Reading,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 3,415,401,429,2014,Writing,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 3,413,398,428,2014,Spelling,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 3,467,450,485,2014,Grammar,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 3,411,396,425,2014,Numeracy,Paper,44470,"St Kilda Park Primary School, St Kilda, VIC"
Year 3,435,406,463,2014,Reading,Paper,45797,"St John's School, Footscray, VIC"
Year 3,415,392,438,2014,Writing,Paper,45797,"St John's School, Footscray, VIC"
Year 3,437,412,463,2014,Spelling,Paper,45797,"St John's School, Footscray, VIC"
Year 3,441,411,471,2014,Grammar,Paper,45797,"St John's School, Footscray, VIC"
Year 3,415,391,438,2014,Numeracy,Paper,45797,"St John's School, Footscray, VIC"
Year 3,479,460,499,2014,Reading,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 3,445,429,460,2014,Writing,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 3,429,413,446,2014,Spelling,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 3,476,457,495,2014,Grammar,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 3,447,431,463,2014,Numeracy,Paper,44044,"Newport Lakes Primary School, Newport, VIC"
Year 3,444,430,458,2014,Reading,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 3,417,405,429,2014,Writing,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 3,439,426,452,2014,Spelling,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 3,445,429,460,2014,Grammar,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 3,435,423,448,2014,Numeracy,Paper,44664,"Footscray West Primary School, West Footscray, VIC"
Year 3,471,455,488,2014,Reading,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 3,410,396,424,2014,Writing,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 3,452,437,468,2014,Spelling,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 3,460,442,478,2014,Grammar,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 3,422,408,436,2014,Numeracy,Paper,44224,"Albert Park Primary School, Albert Park, VIC"
Year 3,436,413,460,2014,Reading,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 3,401,382,420,2014,Writing,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 3,402,380,423,2014,Spelling,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 3,444,420,469,2014,Grammar,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 3,412,392,431,2014,Numeracy,Paper,50217,"Newport Gardens Primary School, Newport, VIC"
Year 3,498,480,516,2014,Reading,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 3,450,436,465,2014,Writing,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 3,438,422,454,2014,Spelling,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 3,487,468,505,2014,Grammar,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 3,453,438,467,2014,Numeracy,Paper,44461,"Kensington Primary School, Kensington, VIC"
Year 3,361,316,406,2014,Reading,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 3,395,357,432,2014,Writing,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 3,401,358,443,2014,Spelling,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 3,379,329,429,2014,Grammar,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 3,358,323,394,2014,Numeracy,Paper,45538,"Bayside P-12 College, Williamstown, VIC"
Year 3,395,372,418,2014,Reading,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 3,391,372,410,2014,Writing,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 3,405,384,426,2014,Spelling,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 3,384,359,408,2014,Grammar,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 3,387,368,407,2014,Numeracy,Paper,44919,"Altona North Primary School, Altona North, VIC"
Year 3,384,347,421,2014,Reading,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 3,418,388,447,2014,Writing,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 3,396,363,429,2014,Spelling,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 3,383,344,422,2014,Grammar,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 3,380,351,410,2014,Numeracy,Paper,44634,"Spotswood Primary School, Spotswood, VIC"
Year 3,484,471,497,2014,Reading,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 3,423,412,434,2014,Writing,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 3,430,418,442,2014,Spelling,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 3,471,457,484,2014,Grammar,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 3,443,432,454,2014,Numeracy,Paper,44693,"Kingsville Primary School, Yarraville, VIC"
Year 3,470,455,484,2014,Reading,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 3,437,425,449,2014,Writing,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 3,432,419,446,2014,Spelling,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 3,457,442,473,2014,Grammar,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 3,457,445,470,2014,Numeracy,Paper,44273,"Williamstown North Primary School, Williamstown, VIC"
Year 3,485,470,500,2014,Reading,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 3,456,443,469,2014,Writing,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 3,457,443,471,2014,Spelling,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 3,493,476,509,2014,Grammar,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 3,468,455,481,2014,Numeracy,Paper,44515,"Yarraville West Primary School, Yarraville, VIC"
Year 3,390,347,432,2014,Reading,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 3,396,363,430,2014,Writing,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 3,336,299,374,2014,Spelling,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 3,415,370,459,2014,Grammar,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 3,399,366,433,2014,Numeracy,Paper,44948,"Carlton Primary School, Carlton, VIC"
Year 3,471,457,485,2014,Reading,Paper,44671,"Altona Primary School, Altona, VIC"
Year 3,459,447,472,2014,Writing,Paper,44671,"Altona Primary School, Altona, VIC"
Year 3,438,425,452,2014,Spelling,Paper,44671,"Altona Primary School, Altona, VIC"
Year 3,473,458,489,2014,Grammar,Paper,44671,"Altona Primary School, Altona, VIC"
Year 3,436,423,448,2014,Numeracy,Paper,44671,"Altona Primary School, Altona, VIC"
Year 3,461,445,478,2014,Reading,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 3,402,388,416,2014,Writing,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 3,421,406,436,2014,Spelling,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 3,449,431,466,2014,Grammar,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 3,415,401,429,2014,Numeracy,Paper,44225,"Williamstown Primary School, Williamstown, VIC"
Year 3,446,430,463,2014,Reading,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,433,419,447,2014,Writing,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,445,429,460,2014,Spelling,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,458,440,476,2014,Grammar,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,422,408,437,2014,Numeracy,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,416,396,436,2014,Reading,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 3,409,393,426,2014,Writing,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 3,384,365,402,2014,Spelling,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
