Net recurrent income,$ Total,$ per student,year,school_id,school_name
"Fees, charges and parent contributions",334201,725,2014,44513,"Middle Park Primary School, Middle Park, VIC"
"Fees, charges and parent contributions",200643,633,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
State / territory government recurring funding,3781136,11928,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Australian government recurrent funding,1030304,3250,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
State / territory government recurring funding,10648214,6581,2014,45442,"Northcote High School, Northcote, VIC"
Australian government recurrent funding,2424231,1498,2014,45442,"Northcote High School, Northcote, VIC"
Australian government recurrent funding,758432,1720,2014,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,195797,618,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
State / territory government recurring funding,2988963,6778,2014,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,139076,315,2014,44461,"Kensington Primary School, Kensington, VIC"
Total gross income,4079034,9250,2014,44461,"Kensington Primary School, Kensington, VIC"
Less deductions,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to current capital projects,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to debt servicing,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
"Fees, charges and parent contributions",192563,437,2014,44461,"Kensington Primary School, Kensington, VIC"
Total gross income,5207880,16429,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Less deductions,0,0,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to current capital projects,0,0,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
"Fees, charges and parent contributions",333774,539,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
State / territory government recurring funding,3759721,6074,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Australian government recurrent funding,973346,1572,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Total net recurrent income,16417689,10147,2014,45442,"Northcote High School, Northcote, VIC"
Subtotal,0,0,2014,45442,"Northcote High School, Northcote, VIC"
Income allocated to debt servicing,0,0,2014,45442,"Northcote High School, Northcote, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45442,"Northcote High School, Northcote, VIC"
Income allocated to current capital projects,0,0,2014,45442,"Northcote High School, Northcote, VIC"
Less deductions,0,0,2014,45442,"Northcote High School, Northcote, VIC"
Total gross income,16417689,10147,2014,45442,"Northcote High School, Northcote, VIC"
Other private sources,424644,262,2014,45442,"Northcote High School, Northcote, VIC"
"Fees, charges and parent contributions",2920600,1805,2014,45442,"Northcote High School, Northcote, VIC"
Subtotal,0,0,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to debt servicing,0,0,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Subtotal,0,0,2014,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,247189,399,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Total net recurrent income,4079034,9250,2014,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2014,44485,"Carlton Gardens Primary School, Carlton, VIC"
Australian government recurrent funding,578706,1616,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Total net recurrent income,4034429,8751,2014,44513,"Middle Park Primary School, Middle Park, VIC"
Subtotal,0,0,2014,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to debt servicing,0,0,2014,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to current capital projects,0,0,2014,44513,"Middle Park Primary School, Middle Park, VIC"
State / territory government recurring funding,2508982,7008,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Less deductions,0,0,2014,44513,"Middle Park Primary School, Middle Park, VIC"
Other private sources,232077,503,2014,44513,"Middle Park Primary School, Middle Park, VIC"
State / territory government recurring funding,2802272,6079,2014,44513,"Middle Park Primary School, Middle Park, VIC"
Australian government recurrent funding,665878,1444,2014,44513,"Middle Park Primary School, Middle Park, VIC"
Total net recurrent income,2561925,12558,2014,45587,"Altona College, Altona, VIC"
Subtotal,0,0,2014,45587,"Altona College, Altona, VIC"
Income allocated to debt servicing,0,0,2014,45587,"Altona College, Altona, VIC"
Total gross income,4034429,8751,2014,44513,"Middle Park Primary School, Middle Park, VIC"
